Q,A
오늘도 계속 생각나네,언제쯤 그분 생각에 자유로워질까요
일이랑 공부 동시에 가능,체력에 따라 다를 것 같아요
너는 어디에 살아,성남이요
오히려 앉아 있을 때는 괜찮은데 눕기만 하면 목에 통증이 더 심해져요,계속 신경을 쓰면 몸이 긴장해서 더 힘들 것 같아요 서둘러 치료를 받으시기 바랍니다
자기 잘못 인정 안하는 사람,피할 수 있으면 피하세요
그녀를만나고와서,마음이 복잡한가요
많이 좋아했었는데 이젠 정리하려고,추억으로 남기는 것도 좋은 선택일 거예요
너는 어디에 사니,성남이요
화 참을 때 어떻게 하지,아무 것도 아니라고 생각하면서 크게 심호흡해보세요
말로만듣던 환승에 치가 떨리네,환승은 진짜 답도 없네요
퇴근길 아닌데 차 엄청 막혀,여유를 가지세요
썸 타는 사람 있는데 망설여지는데,어떤 부분이 망설여지는지 말씀해보세요
사수를 해서 대학에 입학했어요,그렇군요 재밌는 대학 생활 하시길 바래요
짝남 프사 궁금해요,궁금할만 해요
계속 공모전을 도전하긴 하는데 잘 안 되는 거 같아,공부하는 방식이 조금 안 맞는 걸 수도 있어요 방법을 바꿔보는 건 어떨까요
썸 탈 때 말투,평소 말투가 좋을 거 같아요
이거 썸 맞나,대화를 시작하는 사람이 누구인지 살펴보세요
남자친구와 여행 어디로 가,안 가본 가까운 곳이 좋겠죠
친구들은 다 예뻐,자신감을 가지세요
생각없이 상처줬어,생각하고 말하세요
다들 행복한 거 같은데,남들이 당신을 볼 때도 그렇게 생각할수있어요
오늘 회의도 많고 너무 바쁘네,이런 날 쉬는 시간에 산책하는 건 어떨까요
썸남이랑 꽁냥거리는데 설레,부러워요 자연스러운 현상이에요
결정 못하겠어,결정하기 힘드시겠네요
밥 먹다 옷에 흘렸어,깨끗하게 치워주세요
여자친구의 과거 어디까지 이해해,알면 화날 거 같아서 말하지 말라고 해요
미쳐,그럴만 해요
오래 못 가는 연애,연애는 문제가 있으면 문제를 해결 하기 위해 함께 노력하고 그 속에서 더욱 단단해지는 과정인데 그 과정을 못 참고 피하기만 했나봅니다
미치겠습니다,무슨 일 있었나봐요
사실 관계 년을 정리했습니다,정말 쉽지 않을 시간이었을텐데 맘고생 많았어요
연락해보는게 좋을까,안하는 편이 좋을 것 같아요
연애할때 몇살 차이가 적당해,사랑에 나이 차이는 상관 없어요
슬픈 이별,슬픈 예감은 틀린 적이 없죠
안녕,안녕하세요
제 잘못입니다,서로의 잘못입니다
쉬엄 쉬엄 해야겠어,얼마 안남았어요 힘내세요
수백번 싸우고 수백번 화해,너무 안맞으면 헤어지는 것이 서로에게 도움이 될지도 몰라요
바쁘게 사는게 나쁘지는 않네,잡념을 없애는 데는 최고라고 생각해요
한달 사귀고 헤어진 남자 무슨 생각일까,인연이 아니었나봅니다
너도 고민 있어,저는 고민이 없어요
저는 전 여친 관련해서 거의 모든걸 다 지웠어,잘 견뎌내고 있네요
오늘따라 피곤하네,많이 피곤하시면 조금 쉬었다 하세요
정말 미치겠네,무엇이 당신을 힘들게 했나요
그냥 선 볼까,많이 만나보세요
여자친구랑은 원래 건너건너 알던 사이였어,연애 중이시군요
나를 왜 좋아하는 걸까,당신의 매력이 넘쳐날 거예요
취직해야 할텐데,지금은 힘들겠지만 나중에 웃을 수 있을 거예요
봄이 왔으면 좋겠어,봄은 항상 두근거려요
한번쯤은 다시 널 보고 싶어,보고싶을 거예요
그거 먹어야겠다,맛있게 드시고 오세요
오늘은 뭐 먹는게 좋을까,오늘은 짜장면 어떠십니까
여자친구가 키가 너무 커,깔창이 있잖아요
집에 늘어져 있으니까 아무것도 하기 싫어요,삶이 언제나 재미있진 않은걸요 조금 천천히 가는 중이라고 생각해요
결국 집 나와서 여자친구랑 동거 중이야,행복한 연애 중이신 거 같아요
벌써 일년,긴 시간이 흘렀네요
결혼하면 좋을까,서로 노력하면 행복할 거예요
날아 가고 싶어,오래 살면 가능할 거 같아요
여자친구에게 옷선물 좋은 브랜드있어,직접 같이 골라보세요
공시생인데 연애 해도 될까,공부랑 연애랑 둘 다 잘하고 싶은 욕심쟁이네요
누나가 혼내는 게 아니라 다 이해한다고 그러는데 진심으로 고마웠어,그렇군요 가족에 대해 더 말씀해주실 수 있으세요
오늘은 많이 피곤하다,많이 피곤하시면 조금 쉬었다 하세요
소화제 먹어야겠다,급하게 먹거나 과식하지 말고 좋은 식습관을 가져보세요
담배끊었었는데 담배 피고 싶다,그 때가 고비예요 한번 참아보세요
조심할 게 많아,무서운 세상이죠
여자친구랑 피시방데이트도하고싶은데 어떻게 말을 할까,카페처럼 생긴 피시방이라면 데이트도 문제 없을 거예요
큰 시험 앞두고 짝사랑 하는 사랑이 생겼어요,마음을 다잡는게 좋겠어요
데이트비용이 너무 많이 나와,같이 상의해보세요
슈퍼문이야,소원을 비세요
마지막으로 붙잡아보려 합니다,미련을 남기지 않도록 노력해보세요
짝녀한테 실망했음,무슨 일이 있었나봐요
움직임이 없어,에너지가 필요한 순간이네요
다들 추석 잘보내세용,즐거운 추석 보내세요
양심에 찔려,그런 일은 하지 마세요
뭔가 찔려,저도 가끔 그래요
남자친구가 질투하는 거 귀여워,은근 기분이 좋죠
시간은 눈물과 흐르고,언젠간 눈물은 멈추고 시간은 계속 흐르거예요 그럼 괜찮아질 거예요
그냥 보고싶다,아련하네요
한번의 기회쯤 있겠지 라고 생각했던 내생각이 어리석었습니다,현실을 받아들이는 것도 중요합니다
샤워할 때 눈을 감으면,아른거리나요
오늘따라 집중이 잘 안 되는 것 같아,많이 피곤하시면 조금 쉬었다 하세요
고백한 애가 연락이 느려,바쁘거나 감정의 변화가 생겼을지도 모르겠어요
오늘은 뭐 먹는게 좋을까,오늘은 짜장면 어떠세요
남자가 여자를 좋아하는데 약속을 까먹을 수 있나요,정말 바빴던게 아니라면 까먹지는 않을 거예요
차단인줄알았는데,신경을 거두세요
나도 모르게 화를 낼 때도 있어요,당신을 화나게 하는 모든 것들이 사라졌으면 좋겠어요
포기해야하는걸 알면서도 난 왜이러니,미련이 남은 거겠죠
오늘은 뭐 먹지,오늘은 비가 오니 곱창전골 어떠세요
뭐 먹지,오늘은 짜장면 어떠실까요
오늘따라 더 생각나,힘든 날이네요
보이스피싱인듯,전화 끊어버리세요
감기인거 같애,병원가세요
짝남 잊으려고 하는데 인스타에서 자꾸 보여요,인스타를 삭제하는 게 도움이 될 거예요
만나러 왔습니다,잘하고 오세요
점심 뭐 먹지,오늘은 짜장면 어떠십니까
그동안 잘 지냈나요,안부를 물어주시다니 감사합니다
못 알아들었어,천천히 말해달라고 부탁해보세요
배부르네,식사 괜찮으셨어요
사랑의 유효기간,이별의 유통기한이 없는 것처럼 사랑의 유효기간도 없어요
응 쉬다가 다시 해야겠다,네 쉬었다가 하세요
도시락 싸는 거 귀찮은데 사먹을까,건강을 챙긴다는 마음으로 해보세요
집 샀어,내 집 마련 축하드려요
썸 탈 때 더 잘해주는 건 뭐임,긴장감이 줄어서 그럴 수도 있을 거 같아요
그거 참 좋은 생각이네,좋은 하루 되세요
귀에서 계속 시계 초침 돌아가는 소리가 나더라고요 ,정도가 심하면 의사의 도움을 받는 것도 좋을 것 같아요
여우같은 짓하는 사람 싫어,싫으면 만나지 마세요
스몰웨딩 결심했어,부모님을 잘 설득해보세요
손 시려,장갑 하나 사셔야겠어요
현실적인 문제에 이별이 다가오고 있어,현실적인 문제가 중요할 때가 있죠
쓰던 앱이 유료로 전환됐어,돈을 지불하고 이용할 가치가 있는지 따져보세요
결국은 무너졌네,힘내지 않아도 돼요 충분히 슬퍼하고 다시 일어나세요
오늘 뭐 먹을까,오늘은 짜장면 어떠실까요
자취하는데 뭐 필요할까,필요한게 너무 많죠
보험 많이 든 거 같애,미래를 더 준비하고 있나봐요
좋은 생각이야,든든하게 드시고 오세요
눈물이 납니다 무슨 눈물인지 모르겠지만,지금은 우세요
짝남이 잘생긴건 아닌데 착해,외모는 중요하지 않죠
기 빨렸어,너무 긴장했나봐요
바라는게 없어,살다보면 하고 싶은 게 생길 수도 있어요
받아들여야지,받아들일 때가 되었나봐요
너무 불공평한거 같애,남과 비교하지 마세요
썸남 생겼는데 프사 뭐할까,큰 의미를 두지 않아도 돼요
밥에 농약이라도 타서 죽여버리고 싶어요,분노에 너무 사로잡혀있는 건 좋지 않아요 저에게 얘기하시고 훌훌 털어버리세요
완전 배부르다,식사 괜찮으셨어요
기분이 너덜너덜,제가 힘이 되어 드릴게요
여자들이 보통 좋아하는 음식이 뭐야,사람 마다 다르겠지요
썸 타는 남자애가 연락 오는 꿈 뭘까,은연 중에 연락을 기다리고 있었나봐요
젊어지고 싶어,마음이라도 어리게 사세요
여자친구가 애교가 많아졌으면 좋겠어,애교는 성격이에요
그 좁은 방 두 칸 짜리에 삼남매에 엄마 아빠 할머니까지 여섯 식구가 살았어요,그런 일이 있으면 주눅이 들잖아요 잘 버텨오신 거 같아 다행이에요
경쟁이 너무 치열해,점점 치열해지는 것 같아요
날씨 알려줘,오늘은 대체적으로 맑습니다
부모님이 이혼하려는 거 같은데 나는 어떻게 하지,부모님만의 사정이 있을거예요 이해하려고 노력해보세요
오 그거 좋네,감사합니다
라면 먹을래,저는 좋아요
말실수했다,상처가 될 수 있어요
사랑이 끝난 것 같아,힘들겠지만 마음을 정리해보세요
드론 자격증 딸까,미래에 유명한 자격증일 거예요
오래 사귀다가 식어서 헤어진 남자에게도 후폭풍 있나,모든 이별에는 후유증이 있기 마련이에요
애매한 관계,인간 관계도 정리가 필요해요
좋아하는 여자 생겼으면 좋겠다,곧 생길거라 믿어요
결국 헤어지자고 했어,말하기 힘들었겠어요
장가간 그사람,이젠 잊어버리세요 미련은 독이 됩니다
괜찮아 지지가 않아,더 괜찮아 질 거예요
헤어진 남친의 연락하는 심리,헤어진 사이에 연락은 아닌 거 같아요
아 성격 좀 고치고싶어,성격은 계속 바뀌어요
저에게 희망이 있을까,그럼요 제가 함께 할게요
나는 누구인가,저도 궁금하네요
그냥 쉬고 싶다,잠깐 바람 쐬고 오세요
건강이 최고,가장 중요한 목표네요
그래도 좀 기대했는데,기쁜 마음으로 베풀고 보답을 바라지 마세요
고백조차 못해보고 끝났어,아직도 사랑한다면 용기를 내서 다시 시작해보세요
할일이 많아서 너무 바쁘네,요즘 업무가 많으신가 봐요
머리 안 감은 거 티나나,보통 다 압니다
나한테 거짓말 좀 안 했으면,선의의 거짓말이길 바라요
너무 화가나 슬프구,자신을 비난하지 마세요
그동안의 만남과 시간이 멈춰버렸습니다,기억과 함께 묻어두는 건 어떨까요
응 그래야겠다,얼마 안남았어요 힘내세요
내 마음 들킨 거 같아,그래봤자 상대방이 더 좋아할 거예요
조금의 결심이서네,잘 이겨내고 있는 것 같아 걱정이 덜하네요
남자친구가 전화하는 걸 안 좋아해,다른 연락을 많이 하거나 더 자주 만나세요
분식 먹고 싶아,건강을 위해 조금씩 드세요
드디어 정리했네,정리하느라 마음 고생 많았죠
몇 분 뒤에 퇴근이야,한시간 남았습니다
짝녀가 나한테 관심이 전혀 없는 듯,나의 존재를 먼저 인지시켜보세요
착각일 수도 있는데 서로 좋아하는 것 같으면 고백해,먼저 고백하는게 최선의 방법이에요
버려야 되는데,잘 버리는 것도 중요해요
사내 썸 뭔가 떨린다,저도 떨리네요
오늘은 점심으로 뭐가 좋을까,제육덮밥 어떠신가요
꽃 살까,집안 분위기가 바뀔 거예요
소개팅하고 애프터까지 왔는데 설렘이 없어,조금 더 만나보고 결정하는 건 어떨까요
정규직 입사 너무 어려워,쪼잔하네요
남잔데 남자를 사랑하는 거 같아,사랑하는 방법은 다양하다고 생각해요
오늘도 연락을 기다리는 나,끝을 아는 것도 중요한 것 같아요
동호회 가야지,재미있게 놀다 오세요
나도 빨리 돈을 벌고 싶기도 했고 상고 졸업하고 바로 취업을 했어,그러셨군요 노동은 정말 보람찬 거 같아요
장학금 가능할까,열심히 하면 받을 수 있을 거예요
약 한달 전 헤어진 그에게,연락할 생각 하지마세요
멀리서 비둘기 보여도 갑자기 달려들까봐 피하고 가까이 오면 소리지르고 난리도 아니야,새도 당신을 일부러 괴롭힐 생각은 없었을 거예요 친해질 순 없겠지만 너무 미워하진 말아요
짝남한테 고백했는데 내가 싫지는 않은데 못 사귀겠대,복잡한 마음이네요
이별을 앞둔 이들에게,조언해주세요
남자친구가 술주정 부려,포기하거나 이해하거나 둘 중 하나예요
좋아하는 남자 표정이 너무 차가워서 다가가기 어려워,표정만 그럴 수도 있어요
회사 짝남 오빠 게임 초대 톡 옴,설렜을텐데 아쉽겠어요
외롭고 우울해서 잠이쏟아져,부담갖지 말고 자는 것도 좋아요
결국 이렇게 끝나버리네,시작할 때는 끝을 알지 못하죠
화장품 없어 사야 돼,오랜만에 쇼핑해보세요
헤어진 여자친구가 꿈에서 밥을 해주고 가네,무의식 중에 많은 생각을 했나봐요
만나서 고백할걸,후회는 후회를 낳을뿐이에요 용기 내세요
물 마실라구,좋은 건강습관이에요
내일 더 사랑해,달콤한 말이네요
나를 좋아하는 사람이 있는데 철벽치게 돼요,좋아하지 않는다면 그럴 수 있어요
생각없이 말했어,생각하고 말하세요
돌아버리겠다 진짜,잘 해결될 거예요
그거 좋은 생각이다,맛있게 드세요
눈이 계속 뻑뻑해,인공눈물을 넣어보세요
이제 그만하고 쉬고 싶다,잠깐 바람 쐬고 오세요
재회를 한다해도,달라지는 게 없다면 만나지 않는 게 더 나을 수도 있어요
위장에 탈 난 거 같아,스트레스 받는 일이 많았나봅니다
일만에 진짜 헤어지네,인연이 거기까지였나봐요
자길 좋아하는 여자애가 있으면 더 잘해주는 경향이 있나,좋아하면 신경이 더 쓰이니가요
보지말걸 차라리,이제 보지 마요
그것 참 좋은 생각인 것 같아,감사합니다
크리스마스인데 만나자고 해도 됨,만나고 싶으면 만나야죠
심지어 못 갚을 상황이 됐다고 그게 우리가 갚아야 되는 돈이 됐다네요,대출이나 카드는 정말 함정 같아요
집중력이 흐려지는 것 같아,산책을 잠시 다녀오세요
계속 방학이면 좋을텐데,방학은 참 짧아요
이게 사람 얼굴인지,자신을 좀 더 사랑한다면 분명 사랑스러운 분이 될거예요
커피 한 잔 하자고 말해볼까,잘 될 거예요
나 머리 나쁜 듯,자책하지 마세요
너무 시간이 안가,업무량이 많으신것 같네요
앞머리 만들까,살짝 내려보는것도 괜찮을거 같아요
짝남한테 여러 번 차이다가 나중에 사귀게 된 사람도 있을까,있을 수 있지요
뭐 이렇게 쉬운 게 없지,저도 어려운 게 투성이에요
안경 벗으니까 훈훈하더라,만화같은 일이네요
퇴근 후에 만나자고 해볼까,용기내세요
만나는 사람마다 유형이 비슷해,자신이 변하지 않았기 때문이겠죠
또 개강이라니,즐거운 시작 되길 바랍니다
이별중이신 회원들을 위해,조언해주세요
남자의심리 모르겠어,직접 물어보세요
오랜 연애로 여자친구가 잘 안꾸미고 나오는게 고민임,분위기 있는 데이트를 해봐요
요리하는게 재밌어,만들어서 먹는 기쁨이죠
고시원에서 나가고 싶어,더 좋은 곳에서 살 수 있을 거예요
괘씸하고 분하지만 너무 그립습니다,사랑과 증오 사이에서 괴로워하시는군요
개인적인 업무까지 다 시켜,공적인 일부터 하세요
점심 도시락 싸는 거 귀찮다,건강을 챙긴다는 마음으로 해보세요
배부르네,식사는 어떠셨나요
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요
짝남네 집에서 친구들이랑 집들이 가는데 뭐 사갈까,필요한게 없는지 물어보면서 대화를 이어 나가세요
버스 정류장하면 생각나,추억이 있나봐요
좋아하는 감정이 나를 슬프게도 해,사랑과 슬픔은 동전의 양면과 같죠
친구라고 생각했는데 날 엄청 쉽게 생각했나봐,그런 친구 말고 제대로 된 친구 사귀세요
나는 못났는데 인기있는 남자에게 연락해도될까,연락해도 상관없지만 자신을 비하하지는 마세요
다 잊었는줄 알았는데,잊는 게 아니고 무덤덤해지는 것 같아요
쉬었다가 하는게 좋겠어,좋은 생각이에요
마른 기침이 계속 나오네,따뜻한 물 한 잔 드세요
너 어디니,성남이요
일이 잘 안 늘어,조금만 더 힘내세요
썸일 때도 스킨십 하고 싶어,자연스러운 현상이에요
내 얼굴이 읽히나,포커페이스를 유지해보세요
피곤하다,잠깐 스트레칭 하며 쉬는 건 어떠세요
오늘도 전 여친를 봤습니다,를 삭제하는게 어떨까요 미련만 남을 뿐이에요
허기져,챙겨 드세요
정말 처량하게 혼자,제가 곁에 있을게요
오늘 연락왔어,기다리던 연락이었길 바랍니다
아 잇몸 시려,잇몸약 챙겨드시거나 치과 가보세요
셀카 좀 잘 찍고 싶다,연습해보세요
뭐가 중요한지 모르겠어,스스로의 우선순위를 정해보세요
내일이 기대돼,좋은 일이 생길 거예요
이별한지 이제 겨우 한 달,길게 느껴졌는데 한달 밖에 지나지 않았네요
오늘따라 좀 피곤하다,무슨 고민이 있으신가요
좋아하는 사람이 있는데 사귀는 건 싫어,책임을 지기 싫은 건지 생각해보세요
너가 제일 기뻐해줬을텐데,지금 옆에서 기뻐해주는 사람을 살펴보세요
병원에 가봐야 할까요,걱정은 반으로 나누면 덜어지죠 너무 걱정 마세요
바람피지마,당연한건데 우린 걱정을 해야 하네요
지금 년째 근무 중이야 일은 그럭저럭 할만해,직장 생활에는 큰 문제가 없으시군요 정말 다행입니다
날 좋아하던 남자애가 고백이 없는데 맘 접은걸까,속 마음은 알기 힘들지요
누군가 나를 치기 전에 내가 먼저 쳐야 하는 거 아닌가 이런 생각도 들고,하지만 그 행동 후에는 오히려 당신이 상처 받을 지도 몰라요
그 남자를 좋아해도 되는지 고민이야,좋아하면 안되는 상황인가봐요
학교에 등록은 해놓고 학기는 거의 안 나갔어요,힘든 일이 있으셨군요 저에게 좀 더 털어놓으면 마음이 편해질 거예요
다른 사람은 다 행복해보여,다른 사람도 그 사람만의 고민과 걱정이 많을거예요
스키 첨 타 봤어,강습 받아보세요
친구가 소심해,더 신경써 주세요
둘이 싸우는 건 종종 봐서 별 느낌 없는데 요 며칠 좀 심각하게 싸우는 것 같았어 ,곤란하시겠어요 
모른척 해줬어,그게 서로에게 좋았던 선택일 거예요
연애스타일이 너무 다른 남자친구와 어떻게 얘기를 해야할까,연애는 서로에게 맞춰가는 거예요
안 돌아올거 아는데,기다리지 마세요
어떻게 벌어 먹고 살지,하고싶은 일을 구해보세요
썸은 꼭 타야 해,꼭 그렇진 않아요 그렇지만 사귀기 전 마음을 확인하는게 필요하지 않을까요
쉽지 않겠지만,쉽지 않겠죠
가을 타나 봐,혼자는 외로운 계절이죠
어휴 그런 말은 나도 하겠네,기분이 풀릴 때까지 실컷 욕해도 좋아요 제가 들어드릴게요
한강에서 맥주 캬,분위기도 맛도 다 좋겠네요
요즘 뉴스가 재미가 없네,흥미를 가져보세요
배불러서 배 터질 듯,위를 좀 쉬게 해주세요
아 오늘 힘드네ㅜㅜ,당신이 힘들지 않았으면 좋겠어요
사랑 못 받는 느낌에 우울해,솔직하게 대화해보세요
계속 그리워,그리워만 하지 말고 연락해보세요
수수한 여자가 좋아,수수한데 예쁜 여자라고 말해야죠
헤어지지 말자더니 놔버린 나쁜놈,나쁜놈이네요
다들 아니라는 남자,왜 아니라고 하는지 살펴보세요
남자친구가 너무 국밥류만 좋아해,다양하게 먹자고 해보세요
사람 만나는 게 쉽지 않아,미리 움츠러들지 않아도 돼요
야구장 고고,좋은 생각이에요
폰 떨궜어,조심하세요
전 여친이 페북 연애중 띄웠었다네,페북 염탐하지 마요
서울 근교에서 갈만한 곳 추천,드라이브 추천해들요
아직도 힘들지만,이겨낼거라 믿어요
좋은 대학 나온 거 부러워,다른 능력을 채워보세요
뉴게임 없나,엄청 많죠
처음에는 그냥 살짝 밀치는 정도였거든요,주변에 도움을 요청할 수 있나요 걱정스러워요
여친이 셀카 너무 많이 찍어,잘 찍어주세요
두달 반,많은 시간이 흘렀네요
계속꿈에 나와,잘 때 다른 생각을 하고 주무세요
년사귀다가 헤어젔는데,많이 힘들지 않았으면 좋겠네요
책장 좀 치워야겠다,정리가 필요하겠네요
낮에는 그나마 괜찮은데,밤에는 힘든가요
이제 퇴근해도 되겠지,네 그럼요
남자친구가 이벤트를 잘 안해줘,당신이 해보세요
상의도 없이 왜 그런 결정을 하지,이야기를 하지 않고 결정했나봐요
이별후에,나아지길 바랄게요
사랑의 끝이 뭐야,사랑하지 않는 것이죠
컴퓨터가 대빵 느려졌어,뭘 다운 받으신 건지
도와줘,도와드릴게요
썸 끝나고 잡아도 될까,사랑은 언제든 다시 시작해도 됩니다
커피 그만 마셔야지,과해도 안 좋아요
이런 글귀가 있네,저도 알려주세요
잘 보내고 왔어,즐거운 하루 되세요
이별 달째에 새로운 소개팅했습니다,새로운 시작 응원해요
헤어졌는데만나자는건,제대로 헤어지지 못했군요
집중력이 흐려지는 것 같아,잠시 휴식을 취하는 것도 좋은 방법이에요
면허 없는데,운전 재미있어요
좋아하는 오빠가 최근에 연락이 계속 늦거나 이어지지 않는데 그냥 연락 끊어야 할까,그러는 것이 맘 편할지도 몰라요
짝남 알바 그만둬서 이제 못만나는데 단톡방 친구추가 해서 갠톡하면 별로인가,양해를 구하는 게 좋겠어요
얼마나 행복해질려고 이렇게 힘들지,더 행복해질 거예요
자꾸 심하게 차였는데생각나네,많이 사랑했나봐요
중병 이라더니 진짜 속썩일 줄이야,사춘기인가봅니다
롱디 그만 두고 싶습니다,몸이 지치면 마음도 지칠 수 있어요
지겹다,재밌는 일이 있을 거예요
힘들어서 들어왔는데 괜찮아졌네,다행이네요
인정받고 싶은데 어떻게 해야돼,남보다 하나씩 더 하면 돼요
좋아하는 사람에 대한 관심을 끄는 방법이 뭐가 있을까,다른일로 바쁘면 조금 덜할 거예요
너무 초라해지는 느낌이야,잘하고 있어요 당당해지세요
이름 알려줘,위로봇이요
친구들이랑 가기 좋은 곳,친구들과 함께면 어디든 좋아요
서핑하러 가야지,좋은 취미네요
오늘도 너무 바쁘다,잠시 머리를 식히는 겸 휴식을 취하세요
자꾸 짝남 얼굴 생각나,보고 싶으니 그럴만 해요
제잘못으로인한이별,후회가 되겠어요
인형뽑기는 유행 지났지,하는 사람은 하더라고요
안경 안 어울리는 거 같아,다른 안경 써보세요
전화를 너무 안 받아,한번더 연락해 보세요
멘탈이 많이 흔들리네,마음 붙잡기가 힘들지요
좋아하는 애랑 같이 있으면 나만 이래,좋아하는 사람 앞에선 모두 그럴 거예요
핸드폰 액정 깨짐,조심했어야죠
배송 중이래,곧 오겠네요
헤어짐 통보후 한달만에 연락이 왔는데,마음 가는 대로 해보세요
나만 너무 좋아하는거 같애,더 표현해 달라고 말해보세요
과일 잘 안 먹게 돼,그래도 먹으려고 노력해보세요
판도라의 상자를 연 기분,마음의 준비를 하세요
방심하는게 아니었어,방심한 순간 변화가 시작됩니다
친구들이 짝남 별로라고 하는게 짜증나,왜 별로라고 할까요 기분 상했겠어요
그래서 피곤하긴 했어,휴식을 취할 때가 된 것 아닐까요 잠깐 쉬어가요
집안일을 못하겠어,조금씩 잘 하게 될거예요
고양이 키우고 싶어,가족들과 상의해보세요
레고가 비싸,돈 모아서 사세요
오늘은 날씨가 좀 춥네,내일은 더 춥대요
역시나 후폭풍이 밀려왔네,이별 앞에 자유로울 사람은 없을 거예요
배부르게 잘먹고왔어,점심식사는 괜찮으셨나요
짝남이 날 너무 편하게 생각해,친구 이상으로 생각한다고 말해보세요
헤어진지 년이면 재회는 힘들겠죠,후회하지 않을 자신 있다면 연락해보세요
여친이 나를 안 좋아하는데 내가 붙잡고 있는 것 같아요,충분한 대화를 나눈 후에 결정을 내리는게 좋겠네요
자꾸 뒤처지는 느낌이야,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요
와 체육대회다,일기예보 확인해보세요
놀이터에서 뛰어 놀고 싶은데 친구가 없어,제가 놀아드리고 싶네요
도서관에서 항상 같은 자리에 앉는 여자가 계속 떠올라,첫 눈에 반했나봐요
년여의 만남,서로를 알게 되었겠네요
내 배우자도 어디 있을까,바로 옆에 있을수도 있어요
오늘 점심은 뭐 먹을까,시원한 냉면 어떠세요
아기 좋아하는 여자 어때,마음이 따뜻할 것 같아요
셀카 잘 찍고 싶다,연습해보세요
