유저,구분
원래 소변볼 때 누가 옆에 있으면 신경을 많이 쓰는 편이긴 했어요,배경/문제/소변
그거 때문에 괴로워서 미칠 거 같아요,감정/괴로움
생각처럼 안 되면 초조해지고,감정/초조함
혼자 걷다 보면 쓰러질 것 같아서 분이면 갈 거리를 분은 걸리는 거 같아,증상/기절예기
내 인생에 희망이 남아있긴한걸까,감정/부정적사고
너도 그런 적 있어,일반대화
문장 조합이 잘 안된다는 생각이 들 때가 많아요,증상/집중력저하
이게 이어지니까 점점 술에 의존하게 되는 것 같아요,증상/알코올의존
그리고 지금은 출판일 열심히 하며 다니고 있어,배경/직장
실제로 자살 시도를 해본 건 아닌데 그래도 맨날 죽고 싶었어,감정/자살충동
부모님이 이혼하셨거든,배경/부모/이혼
지금 여자친구랑 만난 지 년 좀 넘었어요,배경/여자친구
근데 진짜 남자였어요 진짜로 진짜 남자 여자가 아니라,모호함
예전에 비해서 인내심이 너무 짧아진 거 같아,감정/감정조절이상
부모한테도 사랑을 못 받은 저를누가 사랑해주겠어요저는 세상에서 없어져야 하는 존재인가 봐요,감정/부정적사고
그 오빠가 나랑 사귈 때 있었던 일을 올려서 사람들이 다 알아버린 거야,배경/연애
금방 있었던 일도 아득하게 멀게 느껴져 피부에 딱 안 와 닿는다고 해야 될까,증상/기억력저하/집중력저하
마음이 너무 답답해요,감정/답답
이렇게 한 지는 좀 됐어요 한 년,배경/직장
주변에서는 나이도 어린데 뭔 그런 걱정이냐고 하는데 그래도,감정/걱정/주변평가
제가 결혼을 하면서 원래 하던 회사를 접고 침구류 판매를 하게 됐거든요,배경/사업
몇 날 며칠이 지나도 아빠는 안 들어오고 엄마는 원래 아빠가 없었던 것처럼 행동했어요,배경/부모/가출/아버지
아빠가 돌아가셨다는 게 잘 안 믿겼다고 해야 하나 ,배경/부모/죽음
문제는 아버지랑 사이가 안 좋다는 거에요,배경/부모/갈등/아버지
나한텐 남편밖에 없는데,배경/남편
니 생각은 어때,일반대화
이런 내가 이상한 걸까,모호함
누가 내 마음을 알겠어,감정/답답
저만 들어오면 다들 그냥 각자 방으로 가고 아무 말도 안 하고 그래요,배경/가족/무관심
내내 이렇게 누워서 환자 생활만 하면 어떡하죠,감정/걱정/건강문제
다행히 시간 정도 갇혀 있다가 무사히 구조됐어,배경/사고
아무 일도 아닌 일에 깜짝 깜짝 놀라고 긴장하고,감정/긴장
지금 이렇게 상담하는 것도 뭔가 예전에 봤던 것 같이 느껴져요,감정/기시감
난 대학 가려고 수 했어 ,배경/대학/입학
그러더니 하는 말이 나보고 유난 떤대,배경/타인/갈등
인생에 재미있는 일이 하나도 없는것 같아,감정/무미건조
자꾸 안 좋은 생각만 들고,감정/부정적사고
요즘 남편이 왜 그렇게 예민하냐고 그러더라,감정/예민함
살 날이 걱정입니다,감정/걱정
한 이틀까지는 괜찮았는데 엄마랑 엄청 싸우기 시작했어요,배경/부모/갈등
제 감정이 이상해진 것 같아요 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요,감정/감정조절이상
진짜 기분 나쁜 거는 어머니가 저한테만 오래된 밥을 퍼줘요,배경/시댁/갈등/시어머니
지금 다시 돌아가면 뭘 웃냐고 화라도 내고 싶은데 그 땐 그럴 수도 없었어,감정/화
첨에 그게 나타난 게 한 년 쯤 됐나,상태/증상지속
무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요,감정/걱정/건강문제
그 친구가 제가 담배핀 걸 애들한테 얘기하면서 제 흉을 보고 다니는 것 같아요,증상/피해망상
복서가 리듬에 맞춰서 머리를 때리는 거 같아요,증상/편두통
중간에 깨버리면 이제 잠자긴 틀린 거라고 생각하면 돼요,증상/불면
모든걸 희생하다가 내 인생이 끝날 것 같아요,감정/불안감
나와도 세 달에 한 번쯤 나왔나 항상 집에만 있었어,증상/은둔
회사에서 계속 일했어,배경/직장/복직
그렇게 겨우 잠들어도 자주 깨고 다시 자기 너무 힘들더라고,감정/힘듦
우울증 약을 한꺼번에 먹고 죽으려고 했는데 실패했어요,증상/자살시도
진짜 안간힘을 다해서 움직이고 깼거든요,모호함
나도 상대하기 싫어서 더 피하게 돼,배경/대인관계/갈등
남자친구들은 거친 면이 있다 보니까 불편해요,배경/대인관계
사는 건 행복하지 않은 것 같아,감정/비관적
차라리 계속 잠들어 있었으면 좋겠어요,감정/부정적사고
본전만 찾고 사업장을 다 접어야 했어요,배경/사업/실패
그렇게 간 지 좀 됐는데 서로 연락은 해 근데 친하진 않아,배경/여자친구/관계소원
처음에는 제 미래가 너무 막연하게 걱정돼서 그랬거든요,감정/걱정/미래
한 병만 먹어야지 하다가도 술이 들어가면 또 한 병 더 먹고 그렇게 되는 거 같아,배경/문제/알코올의존
슬픔에서 벗어나고 싶어요,감정/슬픔
나한테 무슨 문제가 있나 안 예뻐서 그런가 싶고,감정/자존감저하
고 때부터 그랬던 것 같아요 자도 깊게 못 자고 되게 적게 자요,증상/불면
걔는 워낙 멋진 애니까 그렇게 남 위로도 해줄 수 있는 거잖아,배경/남자친구
자주 그러는 건 아니고 한 몇 주에 한 번 마시고 그러긴 한데,배경/음주
그냥 누워있고만 싶어요,증상/무기력
남편이 하지 말라고 하고 나는 괜찮다 한 것도 다 기억 나,배경/생활
딱히 그 때는 무섭단 생각을 안 했어 그냥 우와 신기하다 이랬지,모호함
또 크게 어지럼증이 느껴져서 쓰러지기라도 하면 어떡하나 큰일이 나면 어쩌나 싶더라구,감정/걱정/증상재발
근데 거기에 저랑 제일 친한 친구가 앉아 있는 거예요,배경/친구
아침에 애들 학교 데려다주고 저녁까지 일하다 애들 밥 챙겨주고,배경/생활
마침 제가 그 수업을 들었어요,배경/학교
아내라는 기분보다 비서가 된 기분,감정/서운함
성인이 되고서 한번도 남자를 사귄 적이 없어,배경/남자친구/없음
근데 난 이상하게 재미가 없고 뭐든게 다 귀찮지,증상/무기력
거기에서 뭔 동굴에 들어갔다 나왔어 엄청 크고 깊은 동굴,모호함
이대로 일하면서 사는 게 참 뭔가 재미도 없는 것 같고,증상/무기력
그래도 저희 둘은 힘들었던 시절이 있었으니까 버틸 수 있었는데,배경/생활
성령체험 같은 환상도 보였어,증상/환각
오후에서 저녁때가 되면 더 심해지고,증상/환각
특히 밤에 잘 때 누워있으면 속이 이상해요 ,증상/메스꺼움
근데 얼마 전에 우리집에서 엄마가 갈비를 보내줬거든,모호함
제가 무슨 죄를 지어서 이런 남자를 만난 걸까요,감정/불만
방 밖으로는 한 발짝도 떼기 싫어,증상/은둔
우리집 가정사를 다 얘기할 만큼 친한 친구였는데한 순간 배신 당했어,배경/친구/배신
뭔가 마음 속에 해소되지 않는 응어리 같은 게 있는 기분이에요,감정/답답
영문과 졸업했는데 취업하기가 너무 힘들어,배경/취업/힘듦
심장이 이렇게까지 빨리 뛸 수 있나 싶을 정도라니까,증상/가슴떨림
그러다 무슨 폐건물 이런데 가서 톱 같은 걸 들고 나한테 다가오는 거야,증상/악몽
체력도 계속 떨어져서 힘들어,증상/체력저하
어이없는 새끼들,감정/화
죽고싶다는 생각이 너무 많이 들어요,감정/자살충동
나이 들면 고쳐질 줄 알았는데아직까지 계속 그래요,현재상태/증상지속
근데 그게 항상 피곤할 때만 그래서 그런 줄 알았는데 그것도 환청이었던 것 같아,증상/환청
제가 며칠에 한 번씩은 꼭 가서 밥 하고 청소하고,모호함
처음에는 이게 제가 성격이 워낙 소심해서 그런 건 줄 알았거든요,배경/성격/소심
겁은 났지만 그래도 이렇게 살면 안될 것 같아서 퇴사했어요,배경/직장/퇴사
다 날 괴롭히고 욕하고 감시한다는 생각 때문에 미쳐버릴 것 같아 ,증상/피해망상
남편이 제가 처한 상황을 잘 이해해주지 못하는 거 같아요,배경/남편/소통불가
근데 뭔가 이것도 순간인 것 같아 어느 순간 또 갑자기 우울해질 때가 있거든,감정/우울감/증상재발
나중 일 생각하면 불안해요,감정/불안감/미래
암세포라는 게 쉽게 생기는 건 아니잖아요,배경/건강문제
학교에서 둘이 웃는 걸 못 볼 것 같았어,감정/괴로움
제가 확인한 걸 또 하고 또 하고 또 하거든요,증상/반복행동/확인
아버지가 제 기억보다 많이 여위고 되게 약해보여서,배경/부모/아버지
이제는 베란다만 보면 내가 뛰어내리는 게 상상이 돼,감정/자살충동
남편한테 새 여자가 생겼다는 걸 알게 됐거든요,배경/남편/바람
아무것도 안 느껴지고 마치 내가 없는 거 같아,감정/우울감
성격이 좀 완벽주의에요 뭐든지 실수하는 게 너무 싫어요,배경/성격/완벽추구
정말 세상에 쉬운 일이 하나도 없네,감정/불만
고등학교 때 학교 다니기 싫어 자퇴를 했어요,배경/학교/자퇴
눈물만 나,감정/눈물
계속 나한테만 어렵고 힘든 일 시키고 잠깐 쉬고 있으면 엄청 닦달하고,배경/직장/과도한업무
제가 원래 성격 상 보증 같은 거 절대 안 서거든요,배경/성격
거의 년 만에 보니까 또 되게 슬퍼졌어요,감정/슬픔
서로를 이해 못 해,배경/부모/관계소원
제가 제일 싫어하는 꿈이 있어요,증상/악몽
근데 그거 먹고 난 후부터 뭔가 기분이 되게 이상한 거야,모호함
근데 내가 딱히 도와드릴 수 있는 것도 없고 되게 무력감이 들어,감정/무력감
그럴 땐 기운이 탁 빠져요 ,감정/기분저하
그런데 저는 왜 안심이 안 될까요,감정/불안감
그 후로 사고가 날 뻔한 상황마다 가슴이 엄청 뛰는 거예요,증상/가슴떨림
전보다 빨리 피곤해지는 거 같아,증상/피로
이제 생활비도 점점 떨어져가고 집에 올라가야 할 텐데 모든 게 다 귀찮아요,증상/무기력
잠들어도 금방 다시 깨고 깨고 나면 다시 잘 수가 없고,증상/불면
솔직히 그럴 돈 없거든요 집이 그렇게 잘 사는 것도 아닌데,배경/시댁
년동안 사귄 여자친구가 있어요 남들은 이정도 사귀면 깊은 관계라고 하던데,배경/여자친구/관계소원
자존감도 엄청 떨어지고 내가 진짜 쓰레기 같고,감정/자존감저하
나 원래 안 그랬거든 항상 자신감에 차있고 굉장히 긍정적인 성격이었거든,증상/성격변화
길을 걸을 때마다 감각이 한껏 예민해져,감정/과민반응
항상 그런 식이야 항상 ,감정/짜증
나가도 만날 사람도 없다,배경/친구/없음
사는게 지긋지긋해 ,증상/무기력
새벽에 자주 깨요,증상/불면
아무래도 말이 안 되는 거 같아요,감정/모호함
이게 죽는 거구나 싶었어요,증상/죽음공포
대본을 미리 다 써가서 그거 읽기만 하는 건데도 엄청 두근거리고,증상/두근거림
저녁에 놔둔 설거지도 하기 싫고 다 귀찮아요,증상/무기력
그래도 마시는 건 괜찮아서 내도록 커피만 마셨어요 ,증상/식욕저하
공부를 하거나 뭘 볼 땐 옆 사람이 신경 안 쓰이는데,배경/생활
당장 다음 달 월세도 내야 하고 그런데 아무래도 돈 걱정이 제일 커,감정/걱정/경제적문제
나는 중졸인데 이미 다른 애들은 대학 졸업하고 회사 다니고 그런 거 보면,배경/생활
막 하루 전 일이 한 달 전 일처럼 엄청 아득하고 흐릿하게 느껴지고,증상/기억력저하
겉으로 보면 그게 잘 티가 안 나나봐요 근데 다 제 욕을 하는 것 같아서,증상/피해망상
년 전에 감염성 심내막염이란 걸로 수술 받았거든요,배경/건강문제/수술
나는 아파서 공부도 못 하고 있는데 다른 애들은 공부하고 있겠지 싶어서,배경/학업
앞으로 어떻게 될지 모르는 거니까너무 두려워요,감정/두려움
이혼이 문제는 아니었는데 그냥 그 후부터 계속 혼자 있어서 그런 것 같아,배경/생활/혼자
저번 주에는 정신을 차리고 보니까 제가 현관에서 쓰러졌더라고요,증상/기절
어릴때부터 환청이 가끔 들리곤 했어요,증상/환청
내가 이렇게 살아도 될까,감정/비관적
학교 다닐 때는 전교권이었어,배경/학업/우수
평소에도 밤에 푹 자지는 못했어,배경/문제/불면
그 때 술 취한 백인 놈한테 잡혀서 여기저기 끌려 다녔는데,모호함
자꾸 그러니까 사람들도 이상하게 생각하고 그래도 고치기가 쉽지 않네요,증상/반복행동
근데 둘째 낳고 육아를 시작하는데 아세상에너무 힘든 거예요,배경/육아/힘듦
매달 넷째주 토요일마다 모여서 다른 대학이랑 친선경기를 해,배경/대학
졸리지가 않아요,증상/불면
조숙하다는 말은 들었지만 외로움도 많이 느꼈던 것 같아요,감정/외로움
시어머니랑 둘이 하루종일 집에 있으면 숨 막혀요,감정/답답
나도 이 게으름에서 벗어나는 게 좋겠다는 생각을 종종 해,증상/무기력
한 번 마실 때마다 한 병 반이나 두 병 정도는 마신 것 같네요,배경/음주
중학생 때 왕따를 당했었는데 이제 그럴 일은 없을 테니까요,배경/학교
보면 막 불안해져서 손사래를 치기도 해요 안 된다 안 된다 이러면서,증상/반복행동
근데 시댁에서 며느리가 잘못 들어와서 그런 거라는 거예요,배경/시댁
이상하게 사고도 자꾸 생기는 것 같고,배경/사고
그런데요즘 들어 나 자신에게 회의감이 들어,감정/자존감저하
그게 년 전인데도 아직도 그 생각하면 너무 힘들어,감정/힘듦
근데 왜 헤어졌냐면 그 때 기념일에 분위기가 되게 좋았어요,배경/여자친구
예전에는 재밌었던 게 지금은 너무 하기가 싫어,감정/의욕상실/무기력
몇 년 전에 남편이 공금횡령으로 교도소에 가 있어요,배경/남편
그래서 요즘 좀 마음이 심란해요,감정/심란
세상에 저 혼자만 있는 거 같아요,감정/고독감
나 진짜 내일 학교 못 갈 것 같아 죽고 싶어 죽을래 그냥,감정/자살충동
남편이 저보고 강해졌대요,증상/성격변화
너무 이상한 날이었는데,부가설명
저를 이렇게 만든 건 그 인간들이예요,감정/분노
생각이 많아서 잠도 얕게 자는 것 같아,증상/불면/생각많음
다치고 아픈건 우리 아들인데 상황이 불리해졌어요,배경/자녀
그래서 평일에는 영어 학원 나가,배경/생활/취미
아무래도 화장관련해서는 일본이 전문적이니까요,모호함
지난 주 일요일에 담배를 사러 나왔다가,배경/생활
하루 두세번씩 호흡곤란 증상이 있어,증상/호흡곤란
이상하게 가슴이 두근거려요,증상/두근거림
여자애들은 헐 어떡해 이러는데 그 중 한 남자애가 엄청 크게 웃었어,배경/학교
원래 병에 잘 걸리지 않는 편이었는데 한 번 심장이 이상하다고 느끼니까 건강 걱정이 늘었어요,감정/걱정/건강염려
전 공연도 많이 보는 편이고 전시회도 기회가 될 때마다 가거든요,배경/생활/취미
남편이 사업을 하고 저는 원래 전업주부였어요,배경/남편/사업
시간이 지나면 다시 화장실에 갔다 와야 마음이 놓여요,배경/문제/불안감/소변
사는 게 재미도 없고 되는 일도 없는데 이렇게 사는 게 의미가 있을까 ,감정/부정적사고
그래서 밖에도 못 나가고 그냥 집에만 있었어요,증상/은둔
나도 모르게 방귀를 뀌어버렸는데 마침 엄청 조용해서 다 들린 거야,배경/문제
아무것도 안 하고 살면 천국일 것 같아,증상/무기력
잠자리에 누우면 쓸데없는 생각만 들어요,증상/불면/생각많음
다시 공황 증상이 올까봐 불안하긴 했는데 버스를 아예 못 타는 건 아니야,감정/불안감/증상재발
뭘 하고 싶은 의지가 없고 기운도 없어요 ,증상/무기력/의욕상실
근데 밤에 자려고 눕거나 시간이 좀 생기면 우울해져,감정/우울감
제 마음은 언제쯤 편해질 수 있을까요,감정/불편감
사실 결혼도 혼인신고만 했어요,배경/결혼
실수 좀 해도 괜찮다 틀려도 괜찮다 생각은 하긴 하는데 잘 안 돼,자가치료/심리조절
뭔가 근본적인 치료를 하고 싶어서 상담이라도 받으면 괜찮지 않을까,내원이유/상담
특히 소주를 좋아하는데 일주일에 두세 번 소주 한두 병씩은 마신 것 같아,배경/음주
뭔가 그 꿈 때문인 것 같기도 하고 아니면 정말 다른 문제가 있나,모호함
잠이 안 와서 달밤에 운동도 하고 별 짓 다 했는데피곤하기만 해요,증상/불면/피로
아무것도 하기가 싫어요 숨 쉬는 것도 다 귀찮은 느낌이에요,증상/무기력
시아주버니가 문제가 많은 사람이었어,배경/시댁
아무래도 정신적인 문제가 있는 것 같아서 병원을 간 적은 있어,치료이력/병원내원
불쾌한 기분이 자꾸 들어,감정/불쾌감
딱히 디자인이나 패션에 관심 있는 건 아니고 사업에 관심 많아요,배경/사업
소주가 제일 싸니까 주로 소주를 많이 마셨죠,배경/음주
제가 얼마나 외로운지 그 사람은 모르는 거 같아요,감정/외로움
그러다 침대 바꾸고 훨씬 편해졌어,모호함
왜 나는 나를 컨트롤하지 못할까,부가설명
여자친구는 만난 지 년 정도 됐는데 포항에 있거든요,배경/여자친구
너무 힘들 때는 칼로 손목에 상처를 내,증상/자해
남편은 일 때문에 바쁘고 평일 주말없이 일해서 얼굴 보기도 힘들어,배경/남편/관계소원
올초에는 택배 회사를 다녔었고 너무 힘들어서 한 달 만에 관뒀어,배경/직장/퇴사
다른 사람들은 이 업무를 년에서 년은 하는데 요즘 들어서는 경쟁력도 없어 보인다고 해야 하나 ,배경/직장/없음/흥미
일도 다 싫고 당장이라도 때려치고 싶은데 팀장이 계속 잡아서 일단 휴직계를 낸 상태예요,배경/직장/휴직
어제도 오늘도 직장에 있는데 계속 그 생각뿐이었어요 집중이 안 돼요,증상/집중력저하
그 남자선배 얼굴 쪽팔려서 못 보겠고,감정/창피함
아무도 내 말을 귀담아듣질 않아요 죽고 싶다고 하면 힘내라 그렇게 말해요,감정/자살충동
내가 지금 하는 일이 진짜 단순한 일이야 ,배경/직장/없음/흥미
학년 때 그래서 엄청 괴로웠어,감정/괴로움
살면서 그렇게 화가 많이 나긴 처음이었던 거 같아,감정/화
근데 지금 상사님들을 보면 보통 다들 년은 하셨더라구요,배경/직장
나 우울해,감정/우울감
제일 화나는 건 그거에 투자금이랍시고 돈을 이미 넣었다는 거야,감정/화
오랜고민 끝에 회사를 관두기로 했어요,배경/직장/퇴사
그런데 눈을 감으면 그 친구가 나와요,증상/악몽
이거 외에 별다른 증상은 없긴 한데 진짜 너무 우울해서,감정/우울감
근데 얼마 전에 회사에서 다시 연락이 왔어요,배경/직장
자취하고서 아침에 못 일어나는 날이 많았어,증상/과수면
평소에 엄청 좋아하고 자주 먹던 건데 별로 먹고 싶지 않더라,증상/식욕저하
그렇다고 집에 있으면서 다른 뭔가를 하지도 않아,증상/무기력
내가 그냥 호기심에 친구 따라 술집을 갔는데 그걸 들켜서,부가설명
하지만 하느님이 나를 진정시켜줬어,증상/과대망상
다 나를 이상하게 쳐다보는 거 같고 내 과거를 알고 있는 거 같고 ,증상/피해망상
다행히 조건도 좋고 이러려고 여태 고생했나 보다 하면서 기쁜 마음으로 출근을 시작했어요,배경/취업
내가 어디로 잡혀가는데 그게 다 어딘진 모르겠어,증상/악몽
시간마다 깨니까 자는 시간은 길어도 피곤함이 가시질 않아요,증상/불면/피로
걸어도 걷는 거 같지 않고 몸이 붕 뜬 거 같고,증상/어지러움
밖에 왜 나가기 무섭냐면 다들 내 욕을 하는 거 같단 말이야,증상/피해망상
년 전에 명 이상이 모여서 강의를 듣는데 갑자기 목을 가누지 못할 정도로 이상이 와서 힘들었어요,증상/신체이상/목
도저히 같이 못 해먹겠더라고 ,감정/부정적사고
간이 안 좋다는 걸 알기 전에는 혼자 있는게 힘들지 않았는데,배경/건강문제
불면증 심해요 자주 깨고 깨면 잠이 안 와요,증상/불면
데이트를 몇 번 했던 남자가 새벽에 집을 찾아왔어요 ,배경/전연인
가족이랑 친구들 다 일본에 있는데 힘든 일 있어도 얘기할 사람 하나 없고,배경/친구/없음
그런데 아무 이상이 없다는 거야 ,치료이력/검사/이상없음
지난 번에 인터넷 하는데 다음 카페에 내가 어제 한 일이 시간별로 다 올라와있는거에요,증상/피해망상/도청
하지만 조금씩 여자들이 이야기가 밖으로 나올 때 마다 생각했어요 왜 내가 이렇게 숨어야 해 내가 뭘 그렇게 잘못했는데 같은 상처를 가진 사람들과 이야기를 나누며 아주 조금씩 용기를 얻을 수 있었어요,배경/문제
점점 집에만 있게 되고 낮잠도 엄청 많이 자거든요 그러다 보니까 또 더 피곤해지고 악순환이에요,증상/만성피로
정말 조만간 죽을 거 같아,감정/자살충동
그러다 보니 자연스레 친구가 늘더라고요 모임도 자주 나가고요,배경/대인관계/양호
결혼 초에는 시할머님까지 계셨어요,배경/시댁
특별히 이유는 없는데 언제부턴가 그래요 짜증이 나네요,감정/짜증
처음에는 반주로 한두 잔이었는데 나중엔 한 병씩 마시더라,증상/알코올의존
그때 머리가 띵 하더라고 아 내가 여기 잘못 왔구나 했어,감정/후회
가만히 있어도 떨리고 심장 뛰는 소리가 막 들려요,증상/가슴떨림
신경 쓸 게 많고 집중을 해서 그런가,감정/신경쓰임
하지만 금새 그날로 돌아가 나에게 욕을 하고 손을 드는 아빠 앞으로,배경/부모/아버지/폭력
송곳으로 머리를 찌르는 느낌이에요,증상/편두통
문제가 줄어들지 않아 자꾸 약해지는 것 같아,감정/부정적사고
딱히 트러블이 있는 친구도 없었고,배경/대인관계/양호
머리가 이상해지는 거 같아서 일주일간 잠도 못 잤었어,증상/불면
그런데 그게 뭐 쉽나요 원래 이렇게 생겨 먹은걸,감정/부정적사고
자제하고 싶은데 잘 안되네요,감정/통제력상실
죽어버리려고 몽롱한 정신으로 팔목을 그었어 ,증상/자살시도
하는 수 없이 내가 마트에 나가서 일을 하고 있어,배경/취업
나는 내가 살아야 할 가치를 못 느끼겠어,감정/자살충동
자꾸 그 생각만 하면 가슴이 쿵쿵 뛰는 것 같아요,증상/가슴떨림
라면 빵 과자같이 탄수화물 위주로 폭식을 하는데어떨 때는 한번에 라면 개씩도 먹어,증상/폭식
좋을 때는 좋은데 우울할 때는 한도 끝도 없이 가라앉아요,감정/우울감
마음이 고요하고 차분해졌으면 좋겠어,감정/불안감
근데 괜히 새언니가 내 오빠를 뺏는 것 같아서 괜히 미워,감정/미움
계속 목소리가 들려 나는 선택 받았어 어쩔 수 없잖아,증상/환청
요즘 숙면이 힘들어,증상/불면
매일 수면을 도와주는 어플을 켜두고 자요 금방 잠들진 못해도 그나마 좀 나아요,배경/문제/불면
나는 업무나 집안일이나 확실하게 처리하자는 주의였거든,배경/성격/완벽추구
애가 좀 크면 나도 뭔가를 할 수 있지 않을까 싶긴 해,모호함
남편 일이 잘 안 풀려서 경제적으로 어려움이 많았어,배경/남편/경제적문제
그럼 또 나는 엄청 걱정이 되는 거야,감정/걱정
